North Square
Review,Rating,Date
"North Square is a treasure.  The food is excellent.  The service is cordial and attentive.  And the room is delightful -- not fancy, but handsome and the tables are not on top of one another.  Best of all, it's one of the few places I know of where one can still have a quiet conversation with one's companions. Highly recommend.",4,Dined 1 day ago
Had dinner with friends while staying overnight at the hotel and are so glad we did.  Service was terrific and our food choices were enjoyed by all of us… delicious mushroom soup I might add.  We were delighted when a dish of cookies was delivered for us to celebrate 2 birthdays.,5,Dined 5 days ago
"service was ""spot on"" ,my salad was large but lacking real flavor. Steak was delicious as was the chocolate mouse cake",4,Dined 7 days ago
Wonderfully quaint restaurant.  We enjoyed the meal and the ambiance. Happy Thanksgiving!,5,"Dined on November 29, 2024"
"The special Thanksgiving menu was excellent, including good choices in addition to the traditional turkey dinner. The atmosphere in the Lounge is very comfortable.",4,"Dined on November 29, 2024"
"What a lovely neighborhood restaurant near Washington Square Park.  Though it has a loyal following (nearly every table was taken when we dined there this evening).  This is a quiet, civil atmosphere great for conversation and savoring the good food.  The roasted duck was wonderful as was the mushroom soup starter.  Good service, warm welcome, a charming Greenwich Village restaurant.",5,"Dined on November 22, 2024"
"Tasty, pleasant jewel loved by locals and savvy travelers",4,"Dined on November 21, 2024"
each time I’ve done there. The food has been quite nice. Not superb but quite tasty. Pricing is competitive and the atmosphere is very comfortable. Service could be a little more enthusiastic.,4,"Dined on November 19, 2024"
You can't beat the ambience inside as well as the location of the restaurant across from Washington Square Park. The service is impeccable. The regulars appear to be long-time locals and everyone is very friendly.  There is a lovely understated upscale quality to the place. The brunch is more than adequate but does not rate the top star. I live in Brooklyn but it is my go to place every chance I get.,5,"Dined on November 17, 2024"
All good. Will go back. Nice quiet restaurant attached to Washington Square Hotel.,4,"Dined on November 17, 2024"
"Some of our dishes seemed a bit under-seasoned, especially the side spinach and brussels sprouts we got.  But mostly quite good, with some nice inventive dishes, including vegetarian-friendly stuff.",4,"Dined on November 16, 2024"
"North square never disappoints, ambiance, food, service",5,"Dined on November 5, 2024"
Always reliable always delicious always excellent service,5,"Dined on November 3, 2024"
The Sunday Jazz brunch is a wonderful event.  Food is fine and the performers are first rate.,5,"Dined on October 20, 2024"
"Four of us started with happy hour followed by dinner. Very pleasant service. Food was solid. We got calamari, quesadilla, sirloin steak, duck, and a halibut special. Everyone liked everything - in particular, the steak was tender and the duck was better than you get in most restaurants. Prices were very moderate, especially wine from the happy hour menu. While not ultra gourmet, a solid place for a good meal. And happily, it wasn’t too noisy. You won’t be disappointed.",4,"Dined on October 19, 2024"
Great food in a pleasant atmosphere. It was nice not to have to shout to be heard.,5,"Dined on October 6, 2024"
"This neighborhood restaurant is a jewel — quiet, lovely atmosphere, good food, good value and friendly service.",5,"Dined on October 5, 2024"
Great service!  Food was good and the booths are so comfortable!,5,"Dined on October 3, 2024"
"Attentive staff, retro restaurant, not busy so quiet and quick service of good food.",5,"Dined on September 28, 2024"
"as usual lovely experience - delicious food - the wild mushroom soup super! and the Rack of Lamb terrific!  Usually I get fish but this was a great choice.

The server Axel was so effective, pleasant and helpful - eager to please.",5,"Dined on September 27, 2024"
"A very nice experience. Reasonably priced, nice ambiance, attentive wait staff. Just steps away from the noise and excitement of Washington Square Park.",4,"Dined on September 16, 2024"
"This place is the best kept secret in Manhattan.  Where else can you get top quality music with great food and drink at a reasonable price?  We have been there before and will be there again.
Dianne Ackerman.",5,"Dined on September 15, 2024"
"A nice brunch menu — I had a burger and my spouse had an omelette. We each had a Bloody Mary and the coffee was very good. All in all, a quiet and enjoyable meal.",4,"Dined on September 7, 2024"
"A nice, intimate spot. A great selection of brunch options, plus prix fixe options w/a cocktail and coffee. The jazz group was terrific and the noise level was low when they weren’t playing. I’ll definitely go back.",5,"Dined on August 11, 2024"
"North Square was excellent, as usual.  The Restaurant Week specials were delicious.  The service was excellent and accommodating and the noise level was such that we could actually talk with each other!  We will be back!",5,"Dined on July 25, 2024"
"A rare gem of a restaurant. Excellent food, good service, not loud, just relaxed.",5,"Dined on July 19, 2024"
"Food v. good.  However, decor could use a bit of a face lift.",4,"Dined on July 17, 2024"
The entire experience is excellent- the food is of the highest quality and is meticulously prepared.,5,"Dined on June 29, 2024"
"I love North Square, especially the lounge and the staff. It’s the place I return to over and over again.",5,"Dined on June 11, 2024"
"The lounge area for dining is quite nice, cozy, and an attractive room. There were very few diners this particular evening in the lounge, so the sound level was quiet. But, there were several people at the bar area that had loud voices and that made the noise level very different ... until they left...then much more quiet. The main dining room is also quite nice, but on this particular evening the door was open and the warm air wafting in made the temperature too warm for my comfort. Both rooms are lovely.",5,"Dined on June 2, 2024"
"We made a reservation for breakfast at 10:30 and on the confirmation it said 10:30-12;00 we were aware we were going for breakfast not brunch and  we placed our order as soon as we sat  down . We finished our breakfast at 11;am and asked for coffee but were told the kitchen was closed . We were aware that we had to leave by noon but how long does it take to drink a coffee?  People around us were still sitting and having coffee . It ruined our breakfast , we love north square and eat there all the time but this left a unpleasant taste in our mouths after a delicious breakfast",2,"Dined on May 19, 2024"
"North Square has declined in quality. The restaurant is drab, the service mediocre at best, the food is good but not great.",3,"Dined on May 17, 2024"
"A lovely, homey restaurant with good food at a fair value.  They have a nice staff, as well.",5,"Dined on May 13, 2024"
"Lunch at North Square is always enjoyable. We particularly enjoy dishes that take advantage of seasonal vegetables and fresh herbs. Would love to see a daily omelette added to the lunch menu! We had anticipated a quiet meal since we came fairly early, but a large group of 10-12 folks took a nearby table so with music piped in it was unusually noisy. With warm weather coming, sitting outdoors instead may be on the menu!",4,"Dined on May 9, 2024"
Another wonderful meal that this reliably excellent Village restaurant. First rate food in a setting suitable for conversation. A neighborhood gem.,4,"Dined on May 2, 2024"
"neighborhood gem, beautiful space, excellent food",5,"Dined on April 26, 2024"
Love this place.  Favorite in the Village.  Down to earth and good conversations.,5,"Dined on April 25, 2024"
